Date,Year,Area,Location,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,Hemisphere,Formated Date,Month
18-Sep-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,16.0,Minor injury to thigh,N,Unknown,N,2016-09-18 00:00:00.000000,9.0
18-Sep-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,36.0,Lacerations to hands,N,Unknown,N,2016-09-18 00:00:00.000000,9.0
18-Sep-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,43.0,Lacerations to lower leg,N,Unknown,N,2016-09-18 00:00:00.000000,9.0
17-Sep-16,2016.0,Victoria,Thirteenth Beach,Unprovoked,Australia,Surfing,M,,Struck by fin on chest & leg,N,Unknown,S,2016-09-17 00:00:00.000000,9.0
16-Sep-16,2016.0,Victoria,Bells Beach,Unprovoked,Australia,Surfing,M,,No injury: Knocked off board by shark,N,2 m shark,S,2016-09-16 00:00:00.000000,9.0
15-Sep-16,2016.0,Western Australia,Bunbury,Boat,Australia,Fishing,,,Shark rammed boat. No injury to occupant,N,Unknown,S,2016-09-15 00:00:00.000000,9.0
11-Sep-16,2016.0,Florida,"Ponte Vedra, St. Johns County",Unprovoked,United States,Wading,M,65.0,Minor injury to arm,N,3' to 4' shark,N,2016-09-11 00:00:00.000000,9.0
07-Sep-16,2016.0,Hawaii,"Makaha, Oahu",Unprovoked,United States,Swimming,F,51.0,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10?",N,2016-09-07 00:00:00.000000,9.0
06-Sep-16,2016.0,North Province,Koumac,Unprovoked,New Caledonia,Surfing,M,50.0,FATAL,Y,Unknown,N,2016-09-06 00:00:00.000000,9.0
05-Sep-16,2016.0,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Unprovoked,United States,Other,F,12.0,Lacerations & punctures to lower right leg,N,Unknown,N,2016-09-05 00:00:00.000000,9.0
05-Sep-16,2016.0,Western Australia,Injidup ,Unprovoked,Australia,Surfing,M,,"No inury, board broken in half by shark",N,Unknown,S,2016-09-05 00:00:00.000000,9.0
04-Sep-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Other,M,9.0,Foot bitten,N,Unknown,N,2016-09-04 00:00:00.000000,9.0
01-Sep-16,2016.0,California,"Refugio State Beach, Santa Barbara County",Unprovoked,United States,Fishing,M,22.0,Two toes broken & lacerated,N,White shark,N,2016-09-01 00:00:00.000000,9.0
29-Aug-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,25.0,Lacerations to right foot,N,"Bull shark, 6'",N,2016-08-29 00:00:00.000000,8.0
29-Aug-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,37.0,Minor injury to ankle,N,Unknown,N,2016-08-29 00:00:00.000000,8.0
27-Aug-16,2016.0,,Boucan Canot,Unprovoked,Reunion,Surfing,M,20.0,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",S,2016-08-27 00:00:00.000000,8.0
25-Aug-16,2016.0,Florida,"Ponte Vedra, St. Johns County",Unprovoked,United States,Wading,M,49.0,Minor injury to ankle,N,Unknown,N,2016-08-25 00:00:00.000000,8.0
07-Aug-16,2016.0,New Providence Island,Nassau,Unprovoked,Bahamas,Other,M,15.0,Lacerations to left leg,N,Unknown,N,2016-08-07 00:00:00.000000,8.0
06-Aug-16,2016.0,Hawaii,Maui,Unprovoked,United States,Other,M,21.0,"No inury, shark & board collided",N,"Tiger shark, 10' ",N,2016-08-06 00:00:00.000000,8.0
04-Aug-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,22.0,Big toe bitten,N,Blacktip shark,N,2016-08-04 00:00:00.000000,8.0
29-Jul-16,2016.0,Alicante Province,Arenales del Sol,Unprovoked,Spain,Swimming,M,40.0,Lacerations to right hand,N,Blue shark,N,2016-07-29 00:00:00.000000,7.0
28-Jul-16,2016.0,Hong Kong,,Unprovoked,China,Swimming,M,72.0,Lacerations to leg,N,Unknown,N,2016-07-28 00:00:00.000000,7.0
28-Jul-16,2016.0,Western Australia,Near Albany,Boat,Australia,Other,M,,"No injury, shark nudged kayak repeatedly",N,White shark,S,2016-07-28 00:00:00.000000,7.0
27-Jul-16,2016.0,Florida,"Florida Keys, Monroe County",Provoked,United States,Other,M,43.0,Laceration to left forearm PROVOKED INCIDENT,N,"Nurse shark, 4'",N,2016-07-27 00:00:00.000000,7.0
26-Jul-16,2016.0,New South Wales,"Sharpes Beach, Ballina",Unprovoked,Australia,Surfing,M,18.0,"No injury. Leg rope severed, knocked off board by shark",N,Unknown,S,2016-07-26 00:00:00.000000,7.0
24-Jul-16,2016.0,Kochi Prefecture,Irino Beach,Unprovoked,Japan,Surfing,M,29.0,Lacerations to left leg,N,Unknown,N,2016-07-24 00:00:00.000000,7.0
23-Jul-16,2016.0,Tasmania,Clifton Beach,Unprovoked,Australia,Surfing,M,36.0,Calf bumped but no injury,N,Unknown,S,2016-07-23 00:00:00.000000,7.0
23-Jul-16,2016.0,Abaco Islands,Green Turtle Cay,Unprovoked,Bahamas,Fishing,M,,Lacerations to face and right leg,N,"Bull shark, 6'",N,2016-07-23 00:00:00.000000,7.0
20-Jul-16,2016.0,Queensland,"20 k off The Spit, off the Gold Coast",Provoked,Australia,Fishing,M,31.0,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"reef shark, 1m",S,2016-07-20 00:00:00.000000,7.0
17-Jul-16,2016.0,Alabama,8 miles off Mobile,Boat,United States,Fishing,,,"No injury, shark bit trolling motor",N,"Tiger shark, 10' ",N,2016-07-17 00:00:00.000000,7.0
16-Jul-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,F,9.0,Minor injury to leg,N,Unknown,N,2016-07-16 00:00:00.000000,7.0
16-Jul-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Other,F,11.0,Minor injury to toes,N,Unknown,N,2016-07-16 00:00:00.000000,7.0
15-Jul-16,2016.0,South Carolina,"North Myrtle Beach, Horry County",Unprovoked,United States,Swimming,M,,Puncture wounds to foot,N,Unknown,N,2016-07-15 00:00:00.000000,7.0
